,state_name,date,confirmed
173,Alabama,2020-04-06,2003
174,Alabama,2020-04-07,2197
175,Alabama,2020-04-08,2499
176,Alabama,2020-04-09,2838
177,Alabama,2020-04-10,3007
178,Alabama,2020-04-11,3262
179,Alabama,2020-04-12,3582
180,Alabama,2020-04-13,3800
181,Alabama,2020-04-14,3951
182,Alabama,2020-04-15,4237
183,Alabama,2020-04-16,4400
184,Alabama,2020-04-17,4515
185,Alabama,2020-04-18,4719
186,Alabama,2020-04-19,4897
187,Alabama,2020-04-20,5074
188,Alabama,2020-04-21,5317
189,Alabama,2020-04-22,5598
190,Alabama,2020-04-23,5825
191,Alabama,2020-04-24,6026
192,Alabama,2020-04-25,6213
193,Alabama,2020-04-26,6417
194,Alabama,2020-04-27,6538
195,Alabama,2020-04-28,6750
196,Arkansas,2020-01-22,0
197,Arkansas,2020-01-23,0
198,Arkansas,2020-01-24,0
199,Arkansas,2020-01-25,0
200,Arkansas,2020-01-26,0
201,Arkansas,2020-01-27,0
202,Arkansas,2020-01-28,0
203,Arkansas,2020-01-29,0
204,Arkansas,2020-01-30,0
205,Arkansas,2020-01-31,0
206,Arkansas,2020-02-01,0
207,Arkansas,2020-02-02,0
208,Arkansas,2020-02-03,0
209,Arkansas,2020-02-04,0
210,Arkansas,2020-02-05,0
211,Arkansas,2020-02-06,0
212,Arkansas,2020-02-07,0
213,Arkansas,2020-02-08,0
214,Arkansas,2020-02-09,0
215,Arkansas,2020-02-10,0
216,Arkansas,2020-02-11,0
217,Arkansas,2020-02-12,0
218,Arkansas,2020-02-13,0
219,Arkansas,2020-02-14,0
220,Arkansas,2020-02-15,0
221,Arkansas,2020-02-16,0
222,Arkansas,2020-02-17,0
223,Arkansas,2020-02-18,0
224,Arkansas,2020-02-19,0
225,Arkansas,2020-02-20,0
226,Arkansas,2020-02-21,0
227,Arkansas,2020-02-22,0
228,Arkansas,2020-02-23,0
229,Arkansas,2020-02-24,0
230,Arkansas,2020-02-25,0
231,Arkansas,2020-02-26,0
232,Arkansas,2020-02-27,0
233,Arkansas,2020-02-28,0
234,Arkansas,2020-02-29,0
235,Arkansas,2020-03-01,0
236,Arkansas,2020-03-02,0
237,Arkansas,2020-03-03,0
238,Arkansas,2020-03-04,0
239,Arkansas,2020-03-05,0
240,Arkansas,2020-03-06,0
241,Arkansas,2020-03-07,0
242,Arkansas,2020-03-08,0
243,Arkansas,2020-03-09,0
244,Arkansas,2020-03-10,0
245,Arkansas,2020-03-11,1
246,Arkansas,2020-03-12,5
247,Arkansas,2020-03-13,8
248,Arkansas,2020-03-14,12
249,Arkansas,2020-03-15,16
250,Arkansas,2020-03-16,22
251,Arkansas,2020-03-17,28
252,Arkansas,2020-03-18,37
253,Arkansas,2020-03-19,62
254,Arkansas,2020-03-20,100
255,Arkansas,2020-03-21,118
256,Arkansas,2020-03-22,165
257,Arkansas,2020-03-23,192
258,Arkansas,2020-03-24,222
259,Arkansas,2020-03-25,296
260,Arkansas,2020-03-26,328
261,Arkansas,2020-03-27,375
262,Arkansas,2020-03-28,403
263,Arkansas,2020-03-29,445
264,Arkansas,2020-03-30,504
265,Arkansas,2020-03-31,560
266,Arkansas,2020-04-01,621
267,Arkansas,2020-04-02,678
268,Arkansas,2020-04-03,732
269,Arkansas,2020-04-04,740
270,Arkansas,2020-04-05,853
271,Arkansas,2020-04-06,927
272,Arkansas,2020-04-07,997
273,Arkansas,2020-04-08,1077
274,Arkansas,2020-04-09,1146
275,Arkansas,2020-04-10,1201
276,Arkansas,2020-04-11,1227
277,Arkansas,2020-04-12,1276
278,Arkansas,2020-04-13,1472
279,Arkansas,2020-04-14,1495
280,Arkansas,2020-04-15,1593
281,Arkansas,2020-04-16,1615
282,Arkansas,2020-04-17,1690
283,Arkansas,2020-04-18,1777
284,Arkansas,2020-04-19,1780
285,Arkansas,2020-04-20,1970
286,Arkansas,2020-04-21,2261
287,Arkansas,2020-04-22,2392
288,Arkansas,2020-04-23,2599
289,Arkansas,2020-04-24,2808
290,Arkansas,2020-04-25,2908
291,Arkansas,2020-04-26,3000
292,Arkansas,2020-04-27,3068
293,Arkansas,2020-04-28,3127
294,Arizona,2020-01-22,0
295,Arizona,2020-01-23,0
296,Arizona,2020-01-24,0
297,Arizona,2020-01-25,0
298,Arizona,2020-01-26,1
299,Arizona,2020-01-27,1
300,Arizona,2020-01-28,1
301,Arizona,2020-01-29,1
302,Arizona,2020-01-30,1
303,Arizona,2020-01-31,1
304,Arizona,2020-02-01,1
305,Arizona,2020-02-02,1
306,Arizona,2020-02-03,1
307,Arizona,2020-02-04,1
308,Arizona,2020-02-05,1
309,Arizona,2020-02-06,1
310,Arizona,2020-02-07,1
311,Arizona,2020-02-08,1
312,Arizona,2020-02-09,1
313,Arizona,2020-02-10,1
314,Arizona,2020-02-11,1
315,Arizona,2020-02-12,1
316,Arizona,2020-02-13,1
317,Arizona,2020-02-14,1
318,Arizona,2020-02-15,1
319,Arizona,2020-02-16,1
320,Arizona,2020-02-17,1
321,Arizona,2020-02-18,1
322,Arizona,2020-02-19,1
323,Arizona,2020-02-20,1
324,Arizona,2020-02-21,1
325,Arizona,2020-02-22,1
326,Arizona,2020-02-23,1
327,Arizona,2020-02-24,1
328,Arizona,2020-02-25,1
329,Arizona,2020-02-26,1
330,Arizona,2020-02-27,1
331,Arizona,2020-02-28,1
332,Arizona,2020-02-29,1
333,Arizona,2020-03-01,1
334,Arizona,2020-03-02,1
335,Arizona,2020-03-03,1
336,Arizona,2020-03-04,1
337,Arizona,2020-03-05,1
338,Arizona,2020-03-06,2
339,Arizona,2020-03-07,4
340,Arizona,2020-03-08,4
341,Arizona,2020-03-09,6
342,Arizona,2020-03-10,6
343,Arizona,2020-03-11,10
344,Arizona,2020-03-12,10
345,Arizona,2020-03-13,10
346,Arizona,2020-03-14,12
347,Arizona,2020-03-15,12
348,Arizona,2020-03-16,18
349,Arizona,2020-03-17,20
350,Arizona,2020-03-18,27
351,Arizona,2020-03-19,44
352,Arizona,2020-03-20,63
353,Arizona,2020-03-21,103
354,Arizona,2020-03-22,152
355,Arizona,2020-03-23,234
356,Arizona,2020-03-24,326
357,Arizona,2020-03-25,401
358,Arizona,2020-03-26,508
359,Arizona,2020-03-27,663
360,Arizona,2020-03-28,773
361,Arizona,2020-03-29,919
362,Arizona,2020-03-30,1154
363,Arizona,2020-03-31,1289
364,Arizona,2020-04-01,1414
365,Arizona,2020-04-02,1596
366,Arizona,2020-04-03,1769
367,Arizona,2020-04-04,2018
368,Arizona,2020-04-05,2269
369,Arizona,2020-04-06,2456
370,Arizona,2020-04-07,2575
371,Arizona,2020-04-08,2726
372,Arizona,2020-04-09,3018
373,Arizona,2020-04-10,3111
374,Arizona,2020-04-11,3393
375,Arizona,2020-04-12,3539
376,Arizona,2020-04-13,3701
377,Arizona,2020-04-14,3806
378,Arizona,2020-04-15,3962
379,Arizona,2020-04-16,4234
380,Arizona,2020-04-17,4507
381,Arizona,2020-04-18,4718
382,Arizona,2020-04-19,4928
383,Arizona,2020-04-20,5064
384,Arizona,2020-04-21,5251
385,Arizona,2020-04-22,5459
386,Arizona,2020-04-23,5768
387,Arizona,2020-04-24,6043
388,Arizona,2020-04-25,6280
389,Arizona,2020-04-26,6526
390,Arizona,2020-04-27,6716
391,Arizona,2020-04-28,6948
392,California,2020-01-22,0
393,California,2020-01-23,0
394,California,2020-01-24,0
395,California,2020-01-25,0
396,California,2020-01-26,2
397,California,2020-01-27,3
398,California,2020-01-28,3
399,California,2020-01-29,4
400,California,2020-01-30,4
401,California,2020-01-31,4
402,California,2020-02-01,4
403,California,2020-02-02,4
404,California,2020-02-03,6
405,California,2020-02-04,6
406,California,2020-02-05,6
407,California,2020-02-06,6
408,California,2020-02-07,6
409,California,2020-02-08,6
410,California,2020-02-09,6
411,California,2020-02-10,6
412,California,2020-02-11,7
413,California,2020-02-12,7
414,California,2020-02-13,8
415,California,2020-02-14,8
416,California,2020-02-15,8
417,California,2020-02-16,8
418,California,2020-02-17,8
419,California,2020-02-18,9
420,California,2020-02-19,9
421,California,2020-02-20,9
422,California,2020-02-21,12
423,California,2020-02-22,12
424,California,2020-02-23,12
425,California,2020-02-24,13
426,California,2020-02-25,13
427,California,2020-02-26,15
428,California,2020-02-27,16
429,California,2020-02-28,18
430,California,2020-02-29,22
